scientific_name,node_type,name,image,observations
Vulpes vulpes,Animalia,Volpe rossa,https://i.postimg.cc/nLxTLMMr/volpe.png,Nessuna
Muscardinus avellanarius,Animalia,Moscardino,https://i.postimg.cc/QNzbTfVR/1529px-hazel-dormouse-muscardinus-avellanarius-skole-lviv-oblast-ukraine-50540055351jpg.png,Nessuna
Arvicola amphibius,Animalia,Arvicola acquatica europea,https://i.postimg.cc/WzdwykYW/Water-Vole-on-Boot-Hill-5592665124.png,Nessuna
Micromys minutus,Animalia,Topolino delle risaie,https://i.postimg.cc/C1P4JN7n/Micromys-minutus-01.png,Nessuna
Lepus europaeus,Animalia,Lepre comune,https://i.postimg.cc/ZKhLHCFc/medium.png,Nessuna
Bufotes viridis,Animalia,Rospo smeraldino europeo,https://i.postimg.cc/Zqrf4pcC/Bufotes-viridis.jpg,Nessuna
Rana latastei,Animalia,Rana di Lataste,https://i.postimg.cc/QNY6qXYY/rosp.png,Nessuna
Lacerta bilineata,Animalia,Ramarro occidentale,https://i.postimg.cc/Jz5YZjfZ/medium-1.png,Nessuna
Natrix natrix,Animalia,Natrice dal collare eurasiatica,https://i.postimg.cc/6QHH1t5Q/medium-2.png,Nessuna
Natrix helvetica,Animalia,Biscia dal collare barrata,https://i.postimg.cc/yxRvdRhJ/medium-3.png,Nessuna
Lissotriton vulgaris,Animalia,Tritone punteggiato,https://i.postimg.cc/7LX1YVpt/Common-Newt-Triturus-vulgaris-8475532697.png,Nessuna
Alcedo atthis,Animalia,Martin pescatore,https://i.imgur.com/88F4lIA.jpeg,2
Rana dalmatina,Animalia,Rana agile,https://i.postimg.cc/QMN4bHDP/medium-1.png,Nessuna
Ixobrychus minutus,Animalia,Tarabusino comune,https://i.postimg.cc/MKRFZCts/Ixobrychus-minutus-3-Marek-Szczepanek.png,Nessuna
Emys orbicularis,Animalia,Testuggine palustre europea,https://i.postimg.cc/Vs07DyyY/medium-4.png,Nessuna
Utricularia macrorhiza,Plantae,Utricularia macrorhiza,https://i.postimg.cc/15LJLvQp/Utricularia-macrorhiza-flower.png,Nessuna
Iris pseudacorus,Plantae,Giaggiolo acquatico,https://i.postimg.cc/P5T2XPCx/medium-5.png,Nessuna
Alnus glutinosa,Plantae,Ontano nero,https://i.postimg.cc/T30Qpfbc/medium-6.png,Nessuna
Rosa canina,Plantae,Rosa canina,https://i.postimg.cc/SsJgB3Jf/medium-2.png,Nessuna
Salix alba,Plantae,Salice bianco,https://i.postimg.cc/wvZwg2N8/medium-3.png,Nessuna
Aegithalos caudatus,Animalia,Codibugnolo,https://static.inaturalist.org/photos/92318314/medium.jpeg,2
Ajuga reptans,Plantae,Bugola,https://static.inaturalist.org/photos/332303154/medium.jpeg,1
Alliaria petiolata,Plantae,Alliaria,https://static.inaturalist.org/photos/131581566/medium.jpeg,1
Anas carolinensis,Animalia,Alzavola americana,https://i.postimg.cc/W1Lw9tG8/Anas-carolinensis-Green-winged-Teal-male.png,Nessuna
Anas crecca,Animalia,Alzavola,https://inaturalist-open-data.s3.amazonaws.com/photos/102623526/medium.jpg,6
Anas platyrhynchos,Animalia,Germano reale,https://inaturalist-open-data.s3.amazonaws.com/photos/102623505/medium.jpg,1
Apis mellifera,Animalia,Ape europea,https://inaturalist-open-data.s3.amazonaws.com/photos/297063345/medium.jpeg,1
Ardea alba,Animalia,Airone bianco maggiore,https://static.inaturalist.org/photos/92324580/medium.jpeg,3
Ardea cinerea,Animalia,Airone cenerino,https://static.inaturalist.org/photos/92323666/medium.jpeg,4
Ardea,Animalia,Airone,https://i.postimg.cc/Vk8HJKVz/Grey-Heron-Ardea-cinerea-Vaxholm-Sweden-1.png,Nessuna
Ardea purpurea,Animalia,Airone rosso,https://static.inaturalist.org/photos/125392710/medium.jpeg,2
Buteo buteo,Animalia,Poiana,https://static.inaturalist.org/photos/266218274/medium.jpeg,1
Calopteryx splendens,Animalia,Splendente comune,https://static.inaturalist.org/photos/92324096/medium.jpeg,2
Cettia cetti,Animalia,Usignolo di fiume,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/222183611/1200,1
Clytus arietis,Animalia,Scarabeo vespa,https://static.inaturalist.org/photos/131606123/medium.jpg,1
Plagionotus arcuatus,Animalia,Plagionotus arcuatus,https://i.postimg.cc/DfSNHJG3/images.png,Nessuna
Coloeus monedula,Animalia,Taccola,https://static.inaturalist.org/photos/266312930/medium.jpeg,1
Columba palumbus,Animalia,Colombaccio,https://static.inaturalist.org/photos/92323034/medium.jpeg,2
Dendrocopos major,Animalia,Picchio rosso maggiore,https://static.inaturalist.org/photos/266315307/medium.jpeg,1
Egretta garzetta,Animalia,Garzetta,https://static.inaturalist.org/photos/92322923/medium.jpeg,3
Eristalis tenax,Animalia,Eristalo tenace,https://static.inaturalist.org/photos/131600781/medium.jpeg,1
Fringilla coelebs,Animalia,Fringuello,https://inaturalist-open-data.s3.amazonaws.com/photos/102623488/medium.jpg,1
Helianthus tuberosus,Plantae,Topinambur,https://static.inaturalist.org/photos/131601666/medium.jpeg,1
Hierophis viridiflavus carbonarius,Animalia,Biacco,https://inaturalist-open-data.s3.amazonaws.com/photos/198612186/medium.jpeg,1
Ischnura elegans,Animalia,Codazzurra comune,https://static.inaturalist.org/photos/131577951/medium.jpeg,3
Isodontia mexicana,Animalia,Isodontia mexicana,https://static.inaturalist.org/photos/92325049/medium.jpeg,1
Linaria vulgaris,Plantae,Linajola comune,https://inaturalist-open-data.s3.amazonaws.com/photos/10916921/medium.jpg,1
Linaria genistifolia,Plantae,Linajola,https://i.postimg.cc/Th8gHHD1/images-1.png,Nessuna
Lonicera japonica,Plantae,Caprifoglio giapponese,https://static.inaturalist.org/photos/131568254/medium.jpeg,1
Lysimachia vulgaris,Plantae,Mazza d'oro comune,https://static.inaturalist.org/photos/131572170/medium.jpg,1
Melitaea athalia,Animalia,Atalia,https://i.postimg.cc/R0bRLdX6/medium-7.png,Nessuna
Melitaea didyma,Animalia,Didima,https://static.inaturalist.org/photos/92325636/medium.jpeg,2
Microcarbo pygmaeus,Animalia,Cormorano pigmeo,https://static.inaturalist.org/photos/92322389/medium.jpeg,2
Nycticorax nycticorax,Animalia,Nitticora,https://static.inaturalist.org/photos/266315483/medium.jpeg,2
Orthetrum cancellatum,Animalia,Frecciazzurra puntanera,https://static.inaturalist.org/photos/131601352/medium.jpg,1
Pelophylax lessonae lessonae,Animalia,Rana di Lessona,https://i.postimg.cc/tR8cjqdZ/images-2.png,Nessuna
